년도,사고건수(건),사망자(명),부상자(명)
2019,12915 ,34 ,16347 
2018,11877 ,41 ,14794 
2018,11877 ,41 ,14794 
2017,13223 ,61 ,16104 
2016,13585 ,76 ,16974 
2015,15160 ,83 ,18524 
2014,15192 ,65 ,18643 
2013,14596 ,99 ,18034 
2012,15445 ,101 ,19205 
2011,16363 ,101 ,20086 
2010,17174 ,160 ,21066 
2009,18092 ,154 ,22257 
2008,17874 ,161 ,22364 
2007,18416 ,202 ,22806 
2006,19223 ,276 ,23880 
2005,20495 ,284 ,25314 
2004,22226 ,296 ,27431 
2003,24209 ,394 ,29435 
2002,23301 ,468 ,27135 
2001,26852 ,489 ,30823 
2000,30046 ,588 ,34252 
1999,30935 ,572 ,35361 
1998,28562 ,592 ,31493 
1997,28633 ,753 ,31305 
1996,32189 ,932 ,34667 
1995,33868 ,809 ,36229 
1994,38143 ,890 ,40562 
1993,11146 ,254 ,13952 
1992,9173 ,224 ,11256 
